epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.72,1.91127,3.54635,1.84578,0.50791,0.28086,0.23748,0.12417,1.74351,2.91206,2.00763,0.000158153,0.000158153,0.000158153
2,160.639,1.97034,2.28395,1.86383,0.3901,0.50808,0.41215,0.25129,1.67716,2.7407,1.95217,0.000310547,0.000310547,0.000310547
3,218.898,1.92138,2.11237,1.827,0.47992,0.50406,0.45859,0.27792,1.70796,2.27723,1.89126,0.000456657,0.000456657,0.000456657
4,278.572,1.88496,1.98126,1.79023,0.55831,0.46396,0.4601,0.29045,1.66953,2.32009,1.87491,0.000447726,0.000447726,0.000447726
5,337.779,1.86378,1.9191,1.77187,0.67816,0.4976,0.53878,0.35101,1.72703,1.98209,1.90635,0.000438301,0.000438301,0.000438301
6,396.316,1.84148,1.8469,1.74686,0.62188,0.57619,0.58119,0.36149,1.76153,1.94485,1.89729,0.000428876,0.000428876,0.000428876
7,455.516,1.82671,1.78346,1.73867,0.5651,0.61791,0.6273,0.41767,1.63773,1.73087,1.83549,0.000419451,0.000419451,0.000419451
8,514.115,1.80796,1.71985,1.71406,0.68858,0.66948,0.7142,0.46592,1.65373,1.49536,1.84167,0.000410026,0.000410026,0.000410026
9,571.571,1.79184,1.69438,1.7051,0.65968,0.67778,0.69367,0.46101,1.63338,1.52451,1.8394,0.000400602,0.000400602,0.000400602
10,631.247,1.77424,1.66053,1.70141,0.68025,0.6673,0.7134,0.48801,1.59816,1.48551,1.7893,0.000391177,0.000391177,0.000391177
11,690.064,1.78765,1.6438,1.69845,0.68221,0.69668,0.72796,0.48486,1.59038,1.39351,1.7803,0.000381752,0.000381752,0.000381752
12,748.128,1.77521,1.60428,1.67654,0.71233,0.61691,0.7137,0.4819,1.59982,1.41317,1.77776,0.000372327,0.000372327,0.000372327
13,806.956,1.76808,1.59481,1.68717,0.69068,0.7118,0.75807,0.51224,1.60956,1.42711,1.80035,0.000362902,0.000362902,0.000362902
14,866.991,1.73979,1.54919,1.67246,0.76892,0.69705,0.78799,0.52561,1.67629,1.24989,1.89643,0.000353478,0.000353478,0.000353478
